team,odds,date,site,division,conference,market,result
DEN,482.0,Aug11,bookmaker,,,stage,Divisional
DEN,1014.0,Aug11,bookmaker,,,stage,Conference championship
DEN,2841.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
DEN,3351.0,Aug11,bookmaker,,,stage,Win Super Bowl
DET,160.0,Aug11,bookmaker,,,stage,Miss playoffs
DET,305.0,Aug11,bookmaker,,,stage,Wild card
DET,440.0,Aug11,bookmaker,,,stage,Divisional
DET,800.0,Aug11,bookmaker,,,stage,Conference championship
DET,1000.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
DET,975.0,Aug11,bookmaker,,,stage,Win Super Bowl
GB,110.0,Aug11,bookmaker,,,stage,Miss playoffs
GB,305.0,Aug11,bookmaker,,,stage,Wild card
GB,400.0,Aug11,bookmaker,,,stage,Divisional
GB,900.0,Aug11,bookmaker,,,stage,Conference championship
GB,1800.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
GB,1750.0,Aug11,bookmaker,,,stage,Win Super Bowl
HOU,120.0,Aug11,bookmaker,,,stage,Miss playoffs
HOU,245.0,Aug11,bookmaker,,,stage,Wild card
HOU,380.0,Aug11,bookmaker,,,stage,Divisional
HOU,900.0,Aug11,bookmaker,,,stage,Conference championship
HOU,2800.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
HOU,3000.0,Aug11,bookmaker,,,stage,Win Super Bowl
IND,-260.0,Aug11,bookmaker,,,stage,Miss playoffs
IND,325.0,Aug11,bookmaker,,,stage,Wild card
IND,900.0,Aug11,bookmaker,,,stage,Divisional
IND,2200.0,Aug11,bookmaker,,,stage,Conference championship
IND,10000.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
IND,15000.0,Aug11,bookmaker,,,stage,Win Super Bowl
JAX,-200.0,Aug11,bookmaker,,,stage,Miss playoffs
JAX,300.0,Aug11,bookmaker,,,stage,Wild card
JAX,750.0,Aug11,bookmaker,,,stage,Divisional
JAX,1600.0,Aug11,bookmaker,,,stage,Conference championship
JAX,6800.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
JAX,7200.0,Aug11,bookmaker,,,stage,Win Super Bowl
KC,339.0,Aug11,bookmaker,,,stage,Miss playoffs
KC,349.0,Aug11,bookmaker,,,stage,Wild card
KC,366.0,Aug11,bookmaker,,,stage,Divisional
KC,450.0,Aug11,bookmaker,,,stage,Conference championship
KC,475.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
KC,795.0,Aug11,bookmaker,,,stage,Win Super Bowl
LV,-475.0,Aug11,bookmaker,,,stage,Miss playoffs
LV,480.0,Aug11,bookmaker,,,stage,Wild card
LV,1400.0,Aug11,bookmaker,,,stage,Divisional
LV,3800.0,Aug11,bookmaker,,,stage,Conference championship
LV,9000.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
LV,12075.0,Aug11,bookmaker,,,stage,Win Super Bowl
LAC,125.0,Aug11,bookmaker,,,stage,Miss playoffs
LAC,270.0,Aug11,bookmaker,,,stage,Wild card
LAC,385.0,Aug11,bookmaker,,,stage,Divisional
LAC,850.0,Aug11,bookmaker,,,stage,Conference championship
LAC,2200.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
LAC,2325.0,Aug11,bookmaker,,,stage,Win Super Bowl
LA,148.0,Aug11,bookmaker,,,stage,Miss playoffs
LA,278.0,Aug11,bookmaker,,,stage,Wild card
LA,382.0,Aug11,bookmaker,,,stage,Divisional
LA,803.0,Aug11,bookmaker,,,stage,Conference championship
LA,1405.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
LA,1605.0,Aug11,bookmaker,,,stage,Win Super Bowl
MIA,-201.0,Aug11,bookmaker,,,stage,Miss playoffs
MIA,315.0,Aug11,bookmaker,,,stage,Wild card
MIA,700.0,Aug11,bookmaker,,,stage,Divisional
MIA,2000.0,Aug11,bookmaker,,,stage,Conference championship
MIA,6800.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
MIA,6500.0,Aug11,bookmaker,,,stage,Win Super Bowl
MIN,-108.0,Aug11,bookmaker,,,stage,Miss playoffs
MIN,275.0,Aug11,bookmaker,,,stage,Wild card
MIN,450.0,Aug11,bookmaker,,,stage,Divisional
MIN,1400.0,Aug11,bookmaker,,,stage,Conference championship
MIN,2400.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
MIN,2660.0,Aug11,bookmaker,,,stage,Win Super Bowl
NE,-189.0,Aug11,bookmaker,,,stage,Miss playoffs
NE,316.0,Aug11,bookmaker,,,stage,Wild card
NE,711.0,Aug11,bookmaker,,,stage,Divisional
NE,1488.0,Aug11,bookmaker,,,stage,Conference championship
NE,6276.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
NE,7516.0,Aug11,bookmaker,,,stage,Win Super Bowl
NO,-1200.0,Aug11,bookmaker,,,stage,Miss playoffs
NO,750.0,Aug11,bookmaker,,,stage,Wild card
NO,2500.0,Aug11,bookmaker,,,stage,Divisional
NO,5000.0,Aug11,bookmaker,,,stage,Conference championship
NO,24000.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
NO,25000.0,Aug11,bookmaker,,,stage,Win Super Bowl
NYG,-1300.0,Aug11,bookmaker,,,stage,Miss playoffs
NYG,880.0,Aug11,bookmaker,,,stage,Wild card
NYG,1800.0,Aug11,bookmaker,,,stage,Divisional
NYG,4500.0,Aug11,bookmaker,,,stage,Conference championship
NYG,18000.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
NYG,20000.0,Aug11,bookmaker,,,stage,Win Super Bowl
NYJ,-750.0,Aug11,bookmaker,,,stage,Miss playoffs
NYJ,600.0,Aug11,bookmaker,,,stage,Wild card
NYJ,1800.0,Aug11,bookmaker,,,stage,Divisional
NYJ,4004.0,Aug11,bookmaker,,,stage,Conference championship
NYJ,15000.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
NYJ,24000.0,Aug11,bookmaker,,,stage,Win Super Bowl
PHI,357.0,Aug11,bookmaker,,,stage,Miss playoffs
PHI,336.0,Aug11,bookmaker,,,stage,Wild card
PHI,331.0,Aug11,bookmaker,,,stage,Divisional
PHI,560.0,Aug11,bookmaker,,,stage,Conference championship
PHI,585.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
PHI,617.0,Aug11,bookmaker,,,stage,Win Super Bowl
PIT,-175.0,Aug11,bookmaker,,,stage,Miss playoffs
PIT,375.0,Aug11,bookmaker,,,stage,Wild card
PIT,575.0,Aug11,bookmaker,,,stage,Divisional
PIT,1500.0,Aug11,bookmaker,,,stage,Conference championship
PIT,3000.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
PIT,2700.0,Aug11,bookmaker,,,stage,Win Super Bowl
SF,165.0,Aug11,bookmaker,,,stage,Miss playoffs
SF,295.0,Aug11,bookmaker,,,stage,Wild card
SF,450.0,Aug11,bookmaker,,,stage,Divisional
SF,650.0,Aug11,bookmaker,,,stage,Conference championship
SF,800.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
SF,1750.0,Aug11,bookmaker,,,stage,Win Super Bowl
SEA,-215.0,Aug11,bookmaker,,,stage,Miss playoffs
SEA,330.0,Aug11,bookmaker,,,stage,Wild card
SEA,680.0,Aug11,bookmaker,,,stage,Divisional
SEA,1500.0,Aug11,bookmaker,,,stage,Conference championship
SEA,4400.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
SEA,5000.0,Aug11,bookmaker,,,stage,Win Super Bowl
TB,120.0,Aug11,bookmaker,,,stage,Miss playoffs
TB,230.0,Aug11,bookmaker,,,stage,Wild card
TB,375.0,Aug11,bookmaker,,,stage,Divisional
TB,1100.0,Aug11,bookmaker,,,stage,Conference championship
TB,2800.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
TB,2950.0,Aug11,bookmaker,,,stage,Win Super Bowl
TEN,-550.0,Aug11,bookmaker,,,stage,Miss playoffs
TEN,500.0,Aug11,bookmaker,,,stage,Wild card
TEN,1400.0,Aug11,bookmaker,,,stage,Divisional
TEN,4500.0,Aug11,bookmaker,,,stage,Conference championship
TEN,20000.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
TEN,30000.0,Aug11,bookmaker,,,stage,Win Super Bowl
WAS,118.0,Aug11,bookmaker,,,stage,Miss playoffs
WAS,300.0,Aug11,bookmaker,,,stage,Wild card
WAS,450.0,Aug11,bookmaker,,,stage,Divisional
WAS,775.0,Aug11,bookmaker,,,stage,Conference championship
WAS,1550.0,Aug11,bookmaker,,,stage,Lose in Super Bowl
WAS,1800.0,Aug11,bookmaker,,,stage,Win Super Bowl
ARI,-139.0,Aug11,bookmaker,,,wins,o8.5
ARI,122.0,Aug11,bookmaker,,,wins,u8.5
ARI,146.0,Aug11,bookmaker,,,wins,o9.5
ARI,-181.0,Aug11,bookmaker,,,wins,u9.5
ATL,-300.0,Aug11,bookmaker,,,wins,o6.5
ATL,233.0,Aug11,bookmaker,,,wins,u6.5
ATL,-142.0,Aug11,bookmaker,,,wins,o7.5
ATL,127.0,Aug11,bookmaker,,,wins,u7.5
ATL,139.0,Aug11,bookmaker,,,wins,o8.5
ATL,-171.0,Aug11,bookmaker,,,wins,u8.5
BAL,-285.0,Aug11,bookmaker,,,wins,o10.5
BAL,223.0,Aug11,bookmaker,,,wins,u10.5
BAL,-130.0,Aug11,bookmaker,,,wins,o11.5
BAL,113.0,Aug11,bookmaker,,,wins,u11.5
BAL,168.0,Aug11,bookmaker,,,wins,o12.5
BAL,-210.0,Aug11,bookmaker,,,wins,u12.5
BUF,-377.0,Aug11,bookmaker,,,wins,o10.5
BUF,285.0,Aug11,bookmaker,,,wins,u10.5
BUF,-167.0,Aug11,bookmaker,,,wins,o11.5
BUF,150.0,Aug11,bookmaker,,,wins,u11.5
BUF,129.0,Aug11,bookmaker,,,wins,o12.5
BUF,-158.0,Aug11,bookmaker,,,wins,u12.5
CAR,-277.0,Aug11,bookmaker,,,wins,o5.5
CAR,217.0,Aug11,bookmaker,,,wins,u5.5
CAR,-128.0,Aug11,bookmaker,,,wins,o6.5
CAR,111.0,Aug11,bookmaker,,,wins,u6.5
CAR,148.0,Aug11,bookmaker,,,wins,o7.5
CAR,-183.0,Aug11,bookmaker,,,wins,u7.5
CHI,-145.0,Aug11,bookmaker,,,wins,o7.5
CHI,118.0,Aug11,bookmaker,,,wins,u7.5
CHI,144.0,Aug11,bookmaker,,,wins,o8.5
CHI,-160.0,Aug11,bookmaker,,,wins,u8.5
CHI,267.0,Aug11,bookmaker,,,wins,o9.5
CHI,-350.0,Aug11,bookmaker,,,wins,u9.5
CIN,-236.0,Aug11,bookmaker,,,wins,o8.5
CIN,188.0,Aug11,bookmaker,,,wins,u8.5
CIN,-110.0,Aug11,bookmaker,,,wins,o9.5
CIN,-106.0,Aug11,bookmaker,,,wins,u9.5
CIN,160.0,Aug11,bookmaker,,,wins,o10.5
CIN,-199.0,Aug11,bookmaker,,,wins,u10.5
CLE,-171.0,Aug11,bookmaker,,,wins,o4.5
CLE,139.0,Aug11,bookmaker,,,wins,u4.5
CLE,132.0,Aug11,bookmaker,,,wins,o5.5
CLE,-148.0,Aug11,bookmaker,,,wins,u5.5
CLE,261.0,Aug11,bookmaker,,,wins,o6.5
CLE,-340.0,Aug11,bookmaker,,,wins,u6.5
DAL,-300.0,Aug11,bookmaker,,,wins,o6.5
DAL,233.0,Aug11,bookmaker,,,wins,u6.5
DAL,-146.0,Aug11,bookmaker,,,wins,o7.5
DAL,130.0,Aug11,bookmaker,,,wins,u7.5
DAL,135.0,Aug11,bookmaker,,,wins,o8.5
DAL,-167.0,Aug11,bookmaker,,,wins,u8.5
DEN,-200.0,Aug11,bookmaker,,,wins,o8.5
DEN,161.0,Aug11,bookmaker,,,wins,u8.5
DEN,-109.0,Aug11,bookmaker,,,wins,o9.5
DEN,-107.0,Aug11,bookmaker,,,wins,u9.5
DEN,200.0,Aug11,bookmaker,,,wins,o10.5
DEN,-253.0,Aug11,bookmaker,,,wins,u10.5
DET,-186.0,Aug11,bookmaker,,,wins,o9.5
DET,150.0,Aug11,bookmaker,,,wins,u9.5
DET,118.0,Aug11,bookmaker,,,wins,o10.5
DET,-134.0,Aug11,bookmaker,,,wins,u10.5
DET,230.0,Aug11,bookmaker,,,wins,o11.5
DET,-295.0,Aug11,bookmaker,,,wins,u11.5
GB,-233.0,Aug11,bookmaker,,,wins,o8.5
GB,185.0,Aug11,bookmaker,,,wins,u8.5
GB,-128.0,Aug11,bookmaker,,,wins,o9.5
GB,112.0,Aug11,bookmaker,,,wins,u9.5
GB,159.0,Aug11,bookmaker,,,wins,o10.5
GB,-198.0,Aug11,bookmaker,,,wins,u10.5
HOU,-200.0,Aug11,bookmaker,,,wins,o8.5
HOU,161.0,Aug11,bookmaker,,,wins,u8.5
HOU,102.0,Aug11,bookmaker,,,wins,o9.5
HOU,-118.0,Aug11,bookmaker,,,wins,u9.5
HOU,194.0,Aug11,bookmaker,,,wins,o10.5
HOU,-244.0,Aug11,bookmaker,,,wins,u10.5
IND,-250.0,Aug11,bookmaker,,,wins,o6.5
IND,198.0,Aug11,bookmaker,,,wins,u6.5
IND,-129.0,Aug11,bookmaker,,,wins,o7.5
IND,113.0,Aug11,bookmaker,,,wins,u7.5
IND,161.0,Aug11,bookmaker,,,wins,o8.5
IND,-200.0,Aug11,bookmaker,,,wins,u8.5
JAX,-260.0,Aug11,bookmaker,,,wins,o6.5
JAX,205.0,Aug11,bookmaker,,,wins,u6.5
JAX,-134.0,Aug11,bookmaker,,,wins,o7.5
JAX,118.0,Aug11,bookmaker,,,wins,u7.5
JAX,172.0,Aug11,bookmaker,,,wins,o8.5
JAX,-215.0,Aug11,bookmaker,,,wins,u8.5
KC,-205.0,Aug11,bookmaker,,,wins,o10.5
KC,165.0,Aug11,bookmaker,,,wins,u10.5
KC,110.0,Aug11,bookmaker,,,wins,o11.5
KC,-127.0,Aug11,bookmaker,,,wins,u11.5
KC,223.0,Aug11,bookmaker,,,wins,o12.5
KC,-285.0,Aug11,bookmaker,,,wins,u12.5
LV,-320.0,Aug11,bookmaker,,,wins,o5.5
LV,248.0,Aug11,bookmaker,,,wins,u5.5
LV,-159.0,Aug11,bookmaker,,,wins,o6.5
LV,142.0,Aug11,bookmaker,,,wins,u6.5
LV,125.0,Aug11,bookmaker,,,wins,o7.5
LV,-154.0,Aug11,bookmaker,,,wins,u7.5
